gold_label	content
dip	6Acï looi aya në wuöt dït kɔ̈k yiic ku lɔ wuöt tɔ̈u tëmec piny de Manatha ku Eparaim ku Thimion , ku ɣään mec tɔ̈u të lɔ rut cï Naptali .
twi	Aprannaa ason no gyigyei akyi no , ɔbɔfo hoɔdenfo no kasa bio : “ Na ɔbɔfo a mihuu no sɛ ogyina po ne asase so no maa ne nsa nifa so kyerɛɛ ɔsoro .
tex	Akatek zin u̱zu̱ngtti̱ lo̱o̱c kar zin ki̱di̱ngdi̱nga̱n Ye̱su̱ .
aha	Dwɔɔnʋ 4 : 8 Mɩnla mfasʋ yɛ yenyia wɔ Nyamɩnlɩ yɩ ɔlɔlɛ zʋ a ?
ngo	Vamteta vakulu na vagogo va vandu vamkotili “ Wihenga mambu genago kwa uhotola woki ?
akp	1Nnɛgbe kama ne , lonya bɔi lalaa ɔwɛ̃ gɔ ɔto ɔbɔrɛ i ɔpo ame .
bst	ዬሱ̈ሲ ዋ ን ዎይና ጃ̇ ላ̈ሚ̇ዴ 1ዓይዚ̇ ቃም̇ ፥ ጋሊላ ጋዳ̇ ዎ ቃ̈ና ጋ̈ዝ ካታሚን ጋርታ̇ ኢሲ̇ ዎ ዶ̈ን ፥ ዬሱ̈ሳ ኢንዳ̇ሬ ኢና ኢሲ̇ን ጋርታ̇ ዎ ። 2ዬሱ̈ሳኬ ኢ ታማ̈ራን ኬ ኢሲ̇ን ጋርታ̇ ዬ̈ምፔ̈ን ጼይጊንቲ̇ኔ ። 3ኢሳ̇ቦ ጋ̈ር ማስኪ̇ኖ ዎይና ጂ̇ን ዉሪንዶ̈ን ፥ ዬሱ̈ሳ ኢንዳ̇ ዬሱ̈ሳኮ “ ኢንታ̇ ዎይና ጂ̇ን ዉሪኒሽዋ !
spp	20Ɲyɛ sùpyire t'à pyi ti ɲyɛ a kwû yire yyefuyi cye e mɛ , tire ɲyɛ a láha ti cyeyayaayi mpèeŋi na mɛ .
dsh	56Hééllá lulle hatallá ˈdíéllá he giri ˈdeeny gál Waag hí ˈdeem ka shigicheká hí ˈdiiyime - , Warˈgat Waaˈgiet gaa ijoká ˈduuwawká , Yíésu hí gáál yie .
sgw	ፍጥረት እንም ይእግዘር ክብር ያትየሽ 1በሰሜ ያነቦ እንም ይእግዘር ክብር ዩዶ ፤ ሰሜም ይእግዘር ሜና አዋጅ ዩዶ ። 2አት ከረ ይንጐድ ከረ ዝኸታ ያት ር ፤ አትም ምሳረ ይንጐድ ምሳረ ዝኸታ ይዝረ ። 3ይዝረኮ አነበት ኤነኖ ፤ ቃርመ ና ኤትሰማ ፤ 4የኽርምታነ ና ቸረ ና ባለም እንም ይሰራ ፤ ያፈር ዳረታም ስን ይሰራ ፤ እግዘር ኤያት ይረብርወ መደር ሰሜ አ ነንም ። 5ኤያት ፥ ተምሽራ ዘገር ይወጣ ምሽረነ ኸማ ኸረም ፥ ያትባትርሜ የትሽካከተ ኑጫማ ኸማ ተጬፐም ፥ ቅረረ ፥ ቅረረ ይወጣ ። 6ታት የሰሜ ዳር ተረሳም ፤ ይንጐድ የሰሜ ዳሬንየ ያር ፤ ተ ቅነትመታ ጦና ያመርጤ ይዀለቃር ኤነ ። ይእግዘር ጫ 7ይእግዘር ጫ የመጠረው ፤ ነብስ ገደር ያሜ ፤ ይእግዘር ትዛዝ የታመረው ፤ የጋዋ ሰብ ኻሪነት ይብ ። 8ይእግዘር ጫ ጥየው ፤ ን ይሽንኸማ ያሜ ፤ ይእግዘር ትዛዝ የመጠረው ፤ የቀልብ ኤን ይከፍት ። 9እግዘር በስኔፈ አገክሮት ወኼቃሩ ፤ የዘላለም ይረብር ፤ ይእግዘር ፍርድ እንም ውረምም ጥየሙ ። 10ቶርቅ ፥ አቸም አረጠርም ተሸኰቺ ጥርር ወርቅ ይርቅ የትረመደው ፤ ተውየ ፥ አቸም ተውየ ዝሰ ይርቅ ይተም ። 11ይያም ያገልጌያኸ ያጬፔ ፤ ጫማኸ ቦቀየ ብዘ ጥቅም ኧረኽብ ። 12የገገታ ስተት ያዥ ሟኒም ሰብ ኤነ ፤ ታኖ !
bss	Nyéwêd bad ábe béwóó mbwɔ́g áte , nlém á abum .
mdy	ኔ ታ ኮራፓ ሃኪፖ ፤ ታ ፆኦዛሢዮ !
tir	ዮሃንስ ኣብ ኢድ እቲ ብርቱዕ መልኣኽ እንታይ ይርኢ ፧ 5 ዮሃንስ ተወሳኺ ነገር ይርኢ : - “ ኣብ ኢዱ ኸኣ ሓንቲ ንእሽቶ ግንጽልቲ መጽሓፍ [ “ ጥቕላል : ” NW ] አላቶ ። ነታ የማነይቲ እግሩ ኣብ ባሕሪ ረገጸላ : ነታ ጸጋመይቲ ድማ ኣብ ምድሪ ረገጸላ ። ” ( ራእይ 10 : 2 ) ሕጂ ኸኣ ካልእ ጥቕላል ፧ እወ : ሕጂ ግን እተሓትመት ኣይኰነትን ። ንሕናውን ቀልጢፍና ምስ ዮሃንስ ኴንና ተወሳኺ ባህ ዘብል ነገራት ክንርኢ ክንጽበ ንኽእል ኢና ። መጀመርታ ግን ናይቲ ክስዕብ ዘለዎ ኣቀማምጣ ክወሃበና ኢዩ ። 6 .
kmy	37Ama vuodieke nɩŋ mana n Chʋa Ŋmɩŋ dɩ nagɩna yɩ mɩŋ , nan keŋ n jigiŋ a yi mɩŋ yada , ta n kaaŋ yagɩ vuodieke nɩŋ dɩ kienene n jigiŋ .
mfz	5Yecu tocɛ ma ti : Am kicra ballɛ yɛke ti aŋɛ yitɛn ?
orm	୨୩ % ଲୋକ ସେଠାରେ ୬ ବର୍ଷ ବୟସରୁ କମ ବୟସ୍କ ଅଟନ୍ତି । [ ୪ ]
vut	28Ɓwâ nɨ̀kwííb kwá səəmcuhó̧ré , ŋgə́ ma kwá duhó̧bɨ́ɨŋ gwi naà , ɓetí ŋgáb tɨ́ɓaám lâs yi ɓuú ŋgə́ !
amh	ከ ሀ እከ ፖ የኮሜዲያን ቶማስ እና ናቲ ኮሜዲ ድራማ እና 50 አለቃ ገብሩ ልዩ የፋሲካ ፕሮግራም በኢቢኤስ ይጠብቁን / Special Fasika Program
xan	ዩ ። 17እኒንት ዊግታንድም ጝት ተቃውምሽጛ ዊነቍድቅ ኣይቭት ፤ ኽዝቭድ ግን ጘጝ ሰራሸው ዲንቅሰው ሰቪዝቍዝ ዲስ ዩ ። ። ስናፍጭ ዚረት ተክድ ( ማቲ .
yor	Ó lè gé igi kedari lulẹ̀ , tabi kí ó gbin igi Sipirẹsi , tabi igi Oaku , kí ó jẹ́ kí ó dàgbà láàrin àwọn igi inú igbó .
rif	أوشا يبد ارايس ن ڒفقها ينا-ٱس إ عيسى : ما وار ثقارذ والو شك ؟ مين خاش شهذن يوذان-أ ؟ ' 63ئقيم عيسى يسقر وار ذاس ييني والو .
